"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-11-01 00:07:48+08:00",121.8892,17.1485,25.58,26.54,25.58,25.58,1008.0,90.0,1008.0,993.0,1.72,136.0,2.33,100.0,"2024-11-01 05:50:37+08:00","2024-11-01 17:21:18+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:48.166428+08:00","Ilagan","","",""
10000.0,"2024-11-01 00:06:47+08:00",124.4,8.25,22.37,23.12,22.37,22.37,1012.0,94.0,1012.0,976.0,1.66,141.0,1.67,18.0,"2024-11-01 05:31:01+08:00","2024-11-01 17:20:49+08:00",801.0,"Clouds","few clouds","02n","2024-11-01 00:07:49.919857+08:00","Iligan City","","",""
10000.0,"2024-11-01 00:07:51+08:00",122.55,10.75,25.8,26.68,25.8,25.8,1010.0,86.0,1010.0,1009.0,3.25,231.0,5.78,100.0,"2024-11-01 05:41:03+08:00","2024-11-01 17:25:35+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:51.964976+08:00","Iloilo City","","",""
10000.0,"2024-11-01 00:03:11+08:00",120.9367,14.4297,27.28,31.8,26.7,28.0,1009.0,92.0,1009.0,1003.0,1.54,110.0,"",40.0,"2024-11-01 05:51:26+08:00","2024-11-01 17:28:06+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:07:53.366922+08:00","Imus",2.0,2037715.0,""
10000.0,"2024-11-01 00:07:54+08:00",123.4167,13.4167,24.1,25.1,24.1,24.1,1011.0,97.0,1011.0,990.0,1.53,141.0,3.13,100.0,"2024-11-01 05:40:25+08:00","2024-11-01 17:19:17+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:54.987275+08:00","Iriga City","","",""
10000.0,"2024-11-01 00:07:57+08:00",122.9888,10.2048,25.09,26.03,25.09,25.09,1011.0,91.0,1011.0,991.0,0.97,136.0,0.97,100.0,"2024-11-01 05:38:43+08:00","2024-11-01 17:24:25+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:57.098091+08:00","Isabela","","",""
10000.0,"2024-11-01 00:07:58+08:00",122.8122,9.9889,25.13,26.07,25.13,25.13,1011.0,91.0,1011.0,991.0,1.74,162.0,1.88,100.0,"2024-11-01 05:39:12+08:00","2024-11-01 17:25:21+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:07:58.415432+08:00","Kabankalan","","",""
10000.0,"2024-11-01 00:08:00+08:00",125.0894,7.0083,23.12,23.89,23.12,23.12,1012.0,92.0,1012.0,954.0,2.0,97.0,1.49,27.0,"2024-11-01 05:26:58+08:00","2024-11-01 17:19:21+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:08:00.096741+08:00","Kidapawan","","",""
10000.0,"2024-11-01 00:08:01+08:00",124.8469,6.5031,23.87,24.77,23.87,23.87,1012.0,94.0,1012.0,977.0,1.38,126.0,1.06,48.0,"2024-11-01 05:27:25+08:00","2024-11-01 17:20:51+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:08:01.215057+08:00","Koronadal","","",""
10000.0,"2024-11-01 00:08:03+08:00",122.9208,10.4233,25.99,25.99,25.99,25.99,1011.0,88.0,1011.0,1004.0,2.02,165.0,2.5,100.0,"2024-11-01 05:39:13+08:00","2024-11-01 17:24:27+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:03.241051+08:00","La Carlota","","",""
